Username,Date,Content
b*****e,8/2/2024 8:21,"Value for Money:Cheaper than to rent a pocket wifi

Parcel was received in good condition, The seller responded to my message very quickly and sent out the sim cards fast.

Update 1/3/24
This sim card can be used in Seoul and Busan with good speed. ğŸ‘"
yvesyvs,25/1/2024 10:05,"Item received with good, fast delivery. Purchased 2 simcard here and both working well, unlimited with 5g data, fast and stable. Value price in this shop."
ekming2008,20/2/2024 23:31,"Value for Money:Good value for money.

Seller takes good efforts to pack the items nicely and thanks for speedy delivery. Will update again using it in overseas"
5*****e,23/12/2023 16:05,"Value for Money:Great price

I bought this for my coming trip.
Hope it works well.

Seller is helpful and response to my queries.

Delivery is super fast"
outlaw82,19/1/2024 9:18,"Value for Money:cheaper than most

Would be better if they have more days option, but price wise this package was cheaper than most sellers. Bought during sale so I got more discounts! Will use them soon so hopefully they will work fine. Sim card came with pin for easy replacement. No external package; directly packed in bubble envelope. Seller posted out faster than stated so thanks seller! ğŸ˜"
amyleong69,4/3/2024 0:08,"Item received in good condition. Used it for 3 days, connection is fast and no problem at all. Worried that it might not be in time to receive bcz usually it will take longer time to reach East Malaysia  . But Seller is very helpful, to send the item ASAP. Item successfully received 1 day earlier. Will buy again for the next trip."
c*****e,31/1/2024 14:27,"Value for Money:yes

Used it for 10days in Korea, totally no problem with the connection, delivery speed is quite fast, seller responded very fast too. I ordered it 2 days before my trip and received just in time. Recommend for the good price."
z4d_kbr_z56ycdf_c_2jmnzm2fvs,17/1/2024 12:36,"Value for Money:Yes..

Bought unlimited data for 5 days. Fast shipping, received within 3 days. Not yet try. Hope it will work well when am in Korea. "
h*****u,29/2/2024 9:50,"Value for Money:hopefully works well

Received in good condition 
Hopefully works well 
Seem a lot good comment from other buyer ğŸ˜Œ
Seller also patient ans my question ğŸ˜Š"
kskonlinestore,9/1/2024 16:38,Fast delivery good value for money and excellent service by seller.
leo.wong9908,16/8/2023 12:21,"Packaged well by seller, fast delivery :)

Haven't tried it though"
eddiehyw,27/1/2024 20:08,Received in good condition with fast delivery. Hope this sim card can used
w*****g,14/1/2024 12:55,"Value for Money:Not Yet Try

Seller send out the item as ordered and delivery quite fast. I not yet try this for my upcoming holiday so canâ€™t giving further comment or feedback. Perhaps seller can improve on delivery packingâ€¦ and put some info/memo to guide how it work and how to activate the SIM cardâ€¦ thank youâ€¦"
w*****f,22/1/2024 14:26,Fast delivery. Received in just few days only. Hope can use when I travel to Korea.
xinen_0827,16/2/2024 19:52,"SIM card working well when after insert into phone, trusted seller"
t*****h,6/2/2024 17:32,"Very fast delivery, ordered on the 1st Feb and received on the 2nd Feb 2024. On the dim card, there is no printed label like the brand or name of manufacturer etc."
c*****m,25/8/2023 21:10,"Received items just in 2 days, seller fast response and fast delivery"
arineling,6/1/2024 18:42,"Value for Money:Fast Delivery

Preparing for my Korea trip, and this sim card is a game-changer! Kudos to the seller for their quick responses in the chat. Hoping for seamless connectivity throughout my journey in Korea. Thanks a bunch!"
lfchang1984,6/3/2024 20:37,"Best selling on Shopee, prompt delivery, functional product received, good communication, recommended seller"
s*****7,10/11/2023 11:30,"The price is reasonable 
Seller is very attentive 

But the courier service is amazingly bad."
a*****i,27/11/2023 20:04,"Value for Money:10/10 cheaper than buying simcard at the airport in korea

Really helpful seller, answered my questions and was fast to post out the simcard, bought this for my trip to korea. Cant wait to use it! Thank you for an excellent service!"
c*****1,18/2/2024 1:42,"Value for Money:The price is quite cheap compared to other

Delivery is super fast. Hopefully it can work well when I'm in SK later. Thanks seller âœ¨"
yungping78,25/2/2024 21:21,"Very fast in delivery. Price is reasonable and value for money. But try yet, hope sim card work properly when reach korea."
h*****1,6/12/2023 10:52,Item received in good condition and very fast delivery from seller.. Not yet try.. Will try when I'm in Korea..
csoonwan81,5/2/2024 16:38,Very fast delivery and very good packaging. Will only know its performance when I use it in Korea in a few weeks time
jamting,1/12/2023 20:41,Fast delivery! This is the second time buying from this seller.Quality very niceThank you seller& J&T.
jamting,12/12/2023 9:37,Fast delivery! This is the second time buying from this seller.Quality very niceThank you seller& J&T.
jamting,2/3/2024 16:47,Fast delivery! This is the second time buying from this seller.Quality very niceThank you seller& J&T.
jamting,6/12/2023 23:50,Fast delivery! This is the second time buying from this seller.Quality very niceThank you seller& J&T.
a*****0,1/12/2023 9:54,Fast delivery and received in good packaging. Thank you. Sorry don't have actual photo.
c*****2,2/3/2024 11:51,Fast delivered and received in good condition. But don't know it works well or not.
jabezwong96,8/12/2023 13:23,"Value for Money:very good

Seller fast response, line was very fast at korea good"
e*****e,27/11/2023 17:09,Fast delivery. Good. Hopefully has no problem. Received in good condition
7cz4n9jnux,18/5/2023 10:01,"Item received in good condition and was packed nicely in a package, thank you very much seller."
aris_hii,11/2/2024 16:13,"All cards received in good conditions,
customer service fast and attentive"
nmok223l_u,4/5/2023 9:24,Items received thanks fast and good service and excellent qualityï¼
o*****g,16/10/2023 21:34,"The expiry date on both the Sim Cards are already expired on 2020, Contacted the seller, and the seller say they still can be used even though expired. Since the seller response is fast, I give 5stars.
Just arrived in Korea today. 
Both the Sim Cards indeed function well even though the expiry date is 2020."
9tdm8catejixk_j857yylgo518g5,8/1/2024 20:40,"Value for Money:good product, functioning all time without fail.

Small and nice packaging, key ğŸ”‘ to open simcard. Acceptable delivery time. Last but not least, no manual attached.
Practically very good product. The only disadvantage only no phone number available. If registering app with tac sent to phone number, this step wasnt supported. If you only care about internet, this item work fantastic. "
greenhabor_123,7/2/2024 11:50,"Not try yet but Very fast delivery. Due to my urgent situation, i contact seller and they are fast response. Recommend to buy from themğŸ¥°"
l*****1,23/10/2023 18:34,"Value for Money:really worth it n hope can use

Haven use yet.  Hope can use it in my oversea trip.  Price r cheaper ....ğŸ‘"
wesley9848,3/1/2024 11:05,"Value for Money:Good Coverage

Fast delivery for Sim card
Korea, Seoul and jeju
Stable network.
Strong signal.
Hotapot sharing allow.

Recommend"
baidou_,1/2/2024 13:08,"Value for Money:good

The price here is goodğŸ˜†, other places &platform sell in higher price

Data connection is smooth throughout the whole trip"
wesley9848,3/1/2024 11:06,"Value for Money:Great coverage

Fast delivery
Good coverage
Strong network
Hotspot sharing - allow

Recommend for traveller to Korea"
washahoe,30/11/2023 12:26,Received in good packaging.Used it for my recent trip .Working fine and good connection..No problem at all.Recommed to others.
p*****p,19/11/2023 21:06,"Connected immediately after plugged in, speed is good. Fast service by seller too."
j*****i,30/1/2024 19:46,Very fast delivery.   Take only 3 days to receive.   Thank you Seller
k*****7,26/11/2023 9:04,"Value for Money:yes

Confirmed that item is as described. Used for the past 8 days. Speed is fast in Jeju and Busan. The card is a bit weird. It is under Malaysia mobile provider DIGI and all google search recommendation including advertisement shows Malaysia related content instaed of Korea while i am in Korea. My Samsung phone has pop up ""device plan"" alert showing 800Mb instead of 1Gb and 6 days validity instead of 8 days. I think it is safe to ignore becauseI have no issue of 8 days usage. Unable to hit 1Gb per day so couldn't validate 800Gb limit. Card printed expiration date is years ago but it is still usable. Overall I will buy from this seller again."
rrrrug,29/12/2023 15:50,"Value for Money:best of the best

Went to busan and Seoul. I do not have any issue using it. Iâ€™m a iPhone 14 user. No issue in activating it. Plug and play. Speed is fast too. Will definitely use again."
f*****6,29/1/2024 15:24,"Value for Money:not value for money

the sim CANNOT BE USED IN KOREA, the line is so slow and mostly no network, have contacted the technical team and nothing can be done, it is not worth it"
n*****i,14/12/2023 17:49,"Value for Money:Good

Arrived in 3 days but I still couldn't use it because I left before that! But will use this next time ğŸ˜ thank you seller"
p*****a,3/3/2024 8:00,"Simcard ni memang bagus bila pakai dekat korea. Lajuuuuuu je internet. Seller dah bagitahu sesiap steps untuk guna simcard ni dekat description, membantu sangat. Thankyou so much seller."
s*****t,9/2/2024 13:24,sdh try simkad ni d korea mmng laju. so siapa2 yg travel ke korea guna lh ni simkad sngat worth it.. line internet sngat2 lajuğŸ˜
sotongcai,16/10/2023 16:59,"Value for Money:cheap

Receive simcard in fast arrange within 2 working days, great to fix it during travel , hopefully good and smooth"
a*****z,22/1/2024 11:27,"Value for Money:nice deal

havent tried since im still at msia but hopefully it'll work just fine with great coverage. thanks seller"
a*****m,25/2/2024 21:30,Very good coverage.. recomended to buy..seller also respond for chat..
g*****g,4/10/2023 12:02,Package is well received. Hope it can work well when in South Koreaâ€¦ ğŸ‘ğŸ»
o4knwjqgny,15/12/2023 12:43,"Product looks good and safe for me
Hopefully product is good"
s*****h,12/11/2023 23:49,"Value for Money:good

Travel to korea u must buy this. Very helpful and itâ€™s working without any prob"
h*****7,30/9/2023 12:17,I can use at the korea. Good prodict to buy and really recommend it. Just plug and use it
chriszabellatan,10/2/2024 1:18,"Value for Money:I will update when im travel this march

Hopefully the coverage is good."
z*****0,21/1/2024 13:20,"Value for Money:Affordable

Seller is very responsive. Bought for my trip to korea this february. Hope its functioning. Tq seller"
dgmastinikiflee,12/9/2023 18:03,Tqvm...simkad telah diterima dlm keadaan yg baik..anak saya yg akan guna di korea minggu depan...
mrmohdikhwan,26/8/2023 23:01,Value for Money:thanks for your helping for activation in fast response ğŸ«¶ğŸ»
s*****i,20/2/2024 12:56,"Fast delivery but I have not try it out as Iâ€™m going Korean in march only 
Will update soon"
eevee122,13/3/2024 15:17,Ordered 11/3; received 13/3. Super fast delivery. First time using this SIM card with this seller. Will buy again if good. Thank you.
ffbear98,8/1/2024 6:31,"Value for Money:Yes

Item received in good conditions. Not yet use since my arrival is on the 13 Jan only."
aerazahirah,5/1/2024 19:30,"Value for Money:Hope so

Tq seller. Hope its works when im in korea soon! Within 3 days I received this items."
hidayahezora,5/2/2024 12:36,Simkad dah sampai.dapat skali pin cucuk utk setiap sim.cuba pasang bila sampai korea nnt.tq seller
ngkokwah7409,3/1/2024 14:40,"Fast Delivery
Nice Packing
Reasonable Prices
Well Done Seller"
pg59bp,9/11/2023 10:56,"Value for Money:fast delivery n nice packaging, thanks."
s*****m,2/2/2024 6:32,"Value for Money:absolutely

Just arrived at Incheon airport & it functions well with 5G line.just follow seller instructions.ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘"
c*****4,12/10/2023 22:42,Just order on 10/10 and received on 12/10. Thanks seller for the fast delivery. Value for money. Haven't try but hope it works well in Korea. Just received the sim card and the pin only. Seller can improve to put sim card in a plastic bag or cover by a piece of paper in future to prevent the sim card from damage as some courier service might spoil it.
w*****1,25/1/2024 8:45,The sim cards are received in good condition and value for money. Used their card before in China and worked properly as promised. I hope this time too.
eevee122,19/3/2024 13:13,"Ordered 15/3; received 19/3. Fast delivery from seller. Repeat purchased, not yet used. Will update after came back from Korea. ğŸ˜Š"
m*****z,27/12/2023 13:32,"Value for Money:Absolutely

Got my parcel already, in good condition

Thank you seller for the good service
Recommended!"
yeepe6130,18/12/2023 20:30,"Received, no packaging, I hope it can be used when it arrives in South Korea in January 2024"
nonofoong01,9/3/2024 21:22,"Very fast delivery service! Havent try yet, hope it can be very smooth in KoreağŸ¤£"
n*****2,21/2/2024 8:59,"Value for Money:yes

Hvnt use yet, will review again after my trip.
Delivery was fastğŸ‘ğŸ‘ğŸ‘ğŸ‘"
yeenee81,22/1/2024 22:49,"Value for Money:yes

Managed to get shop voucher and bought at cheaper price."
vivian1628,22/2/2024 20:38,Value for Money:delivery fast no try yet will use its  next week korea trip
c*****n,7/10/2023 7:14,"Haven't use, hope it works well. Not sure ok or not. But very fast delivery."
mr.shyan,18/2/2024 22:26,Fast delivery I am travel to Korea next month hope it work well
ipoon002,22/12/2023 14:35,Received in good condition. Bought for my coming trip to Korea.
g*****i,3/1/2024 11:30,Received product in good condition. Thank you very much seller.
g*****i,3/1/2024 11:30,Received product in good condition. Thank you very much seller.
eairizadhjhasshim,22/11/2023 17:42,Tgh murah dan cepat sampai.. esok guna baru leh update pasal coverage line
l*****n,15/2/2024 15:14,"Very fast delivery
Each SIM card have one individual pin and boxes"
christyjr,19/2/2024 15:24,item just received safely. Hopefully work very well later on. Thanks.
qzsm7tqukg,19/5/2023 10:41,Seller was very fast in replies and friendly and kind overall is good
lkylau21,6/1/2024 22:41,Seller fast respond to assist. Strongly recommended
54w3xxyx1h,19/5/2023 17:30,"Fast delivery, havenâ€™t use it yet. Will order again if needed."
s*****y,1/2/2024 17:09,"Value for Money:very cheap and good

Simcard sampai dalam keadaan yang baik. Penghantaran mengambil masa 3 hari je. Beli sebelum pegi korea, ambil pakej yang 4G unlimited utk 10 hari, sangat berbaloi. Arahan untuk aktifkan sangat mudah. Sampai je dkt airport busan, korea trus masukkan sim lps tu enable roaming data, trus ade internet. Nak maen ws, insta, tiktok , fb, twitter xde masalah xkne block pn. Nk vc ws pn okayyy laju je xde masalah pn. Cumanye bila maen game moba, ade lag skit sbb ping mencanak naik tak tahu la sbb ape huhu. Papepn, sape2 yg nak pegi korea simcard nie sgt highly remommended dr e sim sbb lagi murah. Lps tu total data interner yang diguna spnjng 10 hari dkt korea hanya 7 gb je tak smpt pn nk maen fon asyik jalan je pagi smpai mlm lps tu tido haha. Utk upload insta story anta gambar vid dkt ws tu ckup kot amek pakej sehari 1gb jeee kalo nk travel kt korea nieee papepun peace"
k*****7,26/11/2023 9:03,"Value for Money:Definitely worth it comparing the price to all other sellers.

Confirmed that item is as described. Used for the past 8 days. Speed is fast in Jeju and Busan. The card is a bit weird. It is under Malaysia mobile provider DIGI and all google search recommendation including advertisement shows Malaysia related content instaed of Korea while i am in Korea. My Samsung phone has pop up ""device plan"" alert showing 800Mb instead of 1Gb and 6 days validity instead of 8 days. I think it is safe to ignore becauseI have no issue of 8 days usage. Unable to hit 1Gb per day so couldn't validate 800Gb limit. Card printed expiration date is years ago but it is still usable. Overall I will buy from this seller again."
h*****i,15/3/2024 7:31,"Haven't try it in Korea, will update my review after that. But the packaging need to be improved"
_*****_,25/9/2023 14:09,Belum cuba. Postage agak lambat. 3hari lepas order baru pos. Mujur sempat sampai sblm bergerak ke sana.
b*****1,3/11/2023 13:57,"Value for Money:oklah

A bit disappointed as it shows 800mb only a day whereas when I bought it show me 1gb per day. Today was the 6th day in South Korea and it pop out showing 800mb.  Sorry as I canâ€™t find the photo of the 800mb that why show inrellavant photos"
p___12,8/3/2024 7:07,"Value for Money:worth it

Internet is super fast. I have no problem using it even in the subway (underground level)

Note that it doesn't have number so you are not able to register any korean apps like Kakao or Naver."
f*****7,28/2/2024 21:21,"Value for Money:it's worth it if you use a lot of data when your at overseas

I think the data is fast enough to use the social media and you can even share hotspot to others too ğŸ‘"
shahizanshafie,23/10/2023 22:31,"Value for Money:not really

Ni simkad digi pakai roaming je kt korea.dh nama digi line pun slow.x berapa puas hati.better beli simkad kt airport je.tp dh beli tpaksa pakai je la dr membazir.nasib baik wifi hotel laju"
f*****7,28/2/2024 21:21,"Value for Money:it's worth it if you use a lot of data in overseas

The data is fast enough to use the social media and you can even share hotspot to others too ğŸ‘"
n*****1,12/11/2023 11:42,"U need to activate it online before your travel date..but otherwise works well during my trip..1gb/day is more than enough for normal browsing, whatsapp calls n texts, n some casual gaming."
v*****s,30/7/2023 21:06,"Value for Money:Yes

The delivery service very late. It make me scare purchase item again at shopee. Now I wil consider buy again if I got more than 2 weeks time to use it."
idaya1991,4/1/2024 9:55,"Value for Money:yes

So easy to use , thank you for creating this useful sim card. I have a good time having this card while travelling"
dienmuhamad,4/1/2024 11:45,"Value for Money:mantap

Boleh guna. dia mcm roaming ja tp function. internet laju kalah roaming pakai sim malaysia. X menyesal la kalau beli."
c*****3,22/2/2024 15:25,"Bought to use in Korea. Once reach Korea, change sim card and it can be direct use, super convenient. Line showed 5G. Satisfied and recommended."
saifuliqmal23,9/3/2024 2:20,"Value for Money:sangat berbaloi

Baru je pergi Korea minggu lepas, sim internet laju. Satu hari tak habis punya quota sebab asik berjalan jeee. Hehe."
n*****h,5/3/2024 12:08,"Value for Money:ok

Received after 3 days ordering. No manual not written which package we receive so couldnt confirm lol hopefully work well"
jasmonching,24/2/2024 20:31,"Value for Money:consider cheaper than roaming since I need it for 8 days

Great product and I got no issue enjoying 5G connection."
babebibobu_q,18/1/2024 18:42,"Value for Money:yes

Buy during sale so murah sikit. Internet laju di seoul & jeju. Mudah, masuk kan je terus on roaming."
r*****n,7/1/2024 1:41,not try yet. hope i can use it when i'm going to travel to Korea between 25 till 30 this month.
catherinechan83,2/11/2023 14:29,"SAYA BELI DUA JENIS KAD ,KAD INI TAK BERAPA BAIK SATU HARI 1GB CEPAT HABIS.SAYA KAD LAIN 3GB 7HARI PUN TAK HABIS"
julie_bong,25/2/2024 6:56,First time try this sim.  Hopefully work well at korean Seoul and jeju.  Wil update again after use it
m*****i,21/2/2024 9:26,"Value for Money:definitely

The SIM card is superb!! Now I donâ€™t have to worry bout every time I travel."
dingthong,20/10/2023 22:53,"Value for Money:Economy

Ordered 11/10, Received 20/10.
Simple packaging, lucky not lost.
No instruction, hopefully able to use."
laitienchin,10/1/2024 20:56,"4G data speed can reach 3M/s
  I'm currently in Busan,  can buy it when u go Korea."
themythy,22/1/2024 21:08,"Use it for 7 days, and it works perfectly fine in the entire trip. Highly recommended"
h*****a,22/8/2023 21:03,"Value for Money:bagus tetapi penghantaran adalah kura kura mati ditengah jalan

Belum test lg. hujan bulan ni nak test"
christine6663,23/11/2023 23:15,"I am just came back from Korea, this sim card very good coverage ! recommend !"
anemzul,2/9/2023 17:19,Ordered on Wednesday and arrived on Saturday! So fast!! Thank youuu & hopefully it works in Korea :)
s*****_,21/11/2023 18:51,"Haven try yet, btw all condition is good when I received it, Thanks seller"
glenntang321,21/9/2023 8:21,"Value for Money:Good value for money

Good value for money
Slow abit delivery"
n*****6,20/11/2023 14:40,"Working as expected, came with adaptor. Great value for money."
sucaimeimei,3/2/2024 20:28,"A bit shock when receive this, have no cover or plastic inside...."
jcsfoon,31/1/2024 19:19,"Received in order, hope can use it smooth in next week"
officializzulislam,28/2/2024 18:24,internet lajuu line stable next time boleh repeatğŸ™ŒğŸ¼
shiehyen18,16/12/2023 14:57,Fast respond from seller and fast delivery
uzif6_kgff,10/2/2024 7:28,Sampai cepat. Good! Harap boleh Guna di Korea
oliviatay611,5/3/2024 13:36,Fast delivery. But havenâ€™t start use.
a*****9,26/2/2024 15:50,Value for Money:Super fast delivery
